x,y,z,t,label,mass,volume,count
-51,-4,71,0,1,1,1,1
-53,-43,108,0,2,2,1,1
-52,-53,99,0,3,3,1,1
-52,-65,96,0,4,4,1,1
-59,-84,77,0,5,5,1,1
-43,-84,77,0,6,6,1,1
