x,y,z,t,label,mass,volume,count
-64,0,70,0,1,1,1,1
-64,-37,103,0,2,2,1,1
-64,-44,91,0,3,3,1,1
-64,-53,87,0,4,4,1,1
-71,-67,63,0,5,5,1,1
-56,-67,63,0,6,6,1,1
