x,y,z,t,label,mass,volume,count
64.0,0.0,63.0,0,1,1,1,1
64.0,37.0,100.0,0,2,1,1,1
64.0,47.0,86.0,0,3,1,1,1
64.0,55.0,85.0,0,4,1,1,1
75.0,64.0,62.0,0,5,1,1,1
54.0,64.0,62.0,0,6,1,1,1
