x,y,z,t,label,mass,volume,count
64.0,0.0,70.0,0,1,1,1,1
64.0,37.0,97.0,0,2,1,1,1
64.0,44.0,91.0,0,3,1,1,1
64.0,53.0,87.0,0,4,1,1,1
71.0,67.0,63.0,0,5,1,1,1
56.0,67.0,63.0,0,6,1,1,1
