x,y,z,t,label,mass,volume,count
51.0,4.0,71.0,0,1,1,1,1
53.0,43.0,108.0,0,2,1,1,1
52.0,53.0,99.0,0,3,1,1,1
52.0,65.0,96.0,0,4,1,1,1
59.0,84.0,77.0,0,5,1,1,1
43.0,84.0,77.0,0,6,1,1,1
